No.,Location,geo_State,Full_address,Latitude,Longitude,Fee_Type,ERU(ft2),Fee,Year Created,Population,geo_Accuracy Score,geo_Zipcode
843,Minnetonka Beach,MN,Minnetonka Beach MN,44.9381885,-93.5942773,F,,5,2011,539,1,55361
844,Minnetrista,MN,Minnetrista MN,44.9347536,-93.7764576,F ,,8.67,2004,6474,0.8,55359
845,Monticello,MN,Monticello MN,45.3037785,-93.8321843,IA ,,1,2019,13599,1,55362
846,Montrose,MN,Montrose MN,45.0657342,-93.9537003,F ,,4.5,2000,2887,1,55363
847,Moorhead,MN,Moorhead MN,46.8658599,-96.8063569,F ,,10.21,2005,38566,1,56560
848,Mora,MN,Mora MN,45.8788354,-93.3294657,F ,,1.25,2005,3556,1,55051
849,Mound,MN,Mound MN,44.9346328,-93.6956374,R ,,1,2001,9180,1,55364
850,Mounds View,MN,Mounds View MN,45.1054767,-93.2426249,T ,,,1993,12305,0.8,55112
851,New Brighton,MN,New Brighton MN,45.0645125,-93.2051815,R ,,4.58,1994,21715,0.9,55112
852,New Hope,MN,New Hope MN,45.0365808,-93.4199128,D,,7.96,1991,20616,0.8,55428
853,New Prague,MN,New Prague MN,44.5476438,-93.6138673,R ,,15.53,1992,7401,1,56071
854,Newport,MN,Newport MN,44.873438,-93.0319694,R ,,4.08,,3481,1,55055
855,North Branch,MN,North Branch MN,45.5137298,-93.030253,R ,,,2008,10131,1,55056
856,North Mankato,MN,North Mankato MN,44.1848531,-94.0363895,A ,,3.75,,13437,0.9,56003
857,North Saint Paul,MN,North Saint Paul MN,45.0138135,-93.0007589,T ,,10.56,1990,11601,0.9,55109
858,Northfield,MN,Northfield MN,44.4546344,-93.2005063,R ,,,1986,20084,1,55057
859,Norwood Young America,MN,Norwood Young America MN,44.7738825,-93.959969,R ,,,2003,3611,1,55394
860,Oak Park Heights,MN,Oak Park Heights MN,45.0321898,-92.8322731,T ,,,1999,4389,1,56357
861,Oakdale,MN ,Oakdale MN ,44.9913027,-92.9950658,R ,,2.17,2002,27743,0.5,
862,Olivia,MN,Olivia MN,44.7773461,-95.0414478,T ,,15.67,,2449,1,56277
863,Orono,MN,Orono MN,44.9599775,-93.6539006,R ,,8.11,2001,7543,0.8,55323
864,Ortonville,MN,Ortonville MN,45.3057325,-96.4766919,D ,,2,,1916,1,56278
865,Osakis,MN,Osakis MN,45.8659174,-95.1776547,T ,,,,1746,1,56360
866,Osseo,MN,Osseo MN,45.1165125,-93.4188395,R ,,11.14,2007,2463,1,55311
867,Otsego,MN,Otsego MN,45.2638265,-93.7523509,T ,,,2009,13761,0.8,55362
868,Owatonna,MN,Owatonna MN,44.1027721,-93.3014439,R ,,4.35,1998,25599,1,55060
869,Park Rapids,MN,Park Rapids MN,46.9128957,-95.0979588,R ,,,2010,3686,1,56470
870,Pierz,MN,Pierz MN,45.9782223,-94.1159735,R ,,32.92,,1394,1,56364
871,Plymouth,MN,Plymouth MN,45.0222615,-93.4615109,R ,,6.86,2001,71561,0.9,55441
872,Preston,MN,Preston MN,43.6714916,-92.0982907,V ,,,2001,1325,1,55965
873,Princeton,MN,Princeton MN,45.5645212,-93.6350913,R ,,1.89,2008,4676,1,55371
874,Prior Lake,MN,Prior Lake MN,44.7248235,-93.4807989,R ,,15.06,1993,25282,1,55372
875,Ramsey,MN,Ramsey MN,45.2573085,-93.5102701,R ,,5.33,2000,18510,0.8,55303
876,Red Wing,MN,Red Wing MN,44.5987533,-92.7149825,R ,,11.5,2008,16116,1,55066
877,Redwood Falls,MN,Redwood Falls MN,44.5495058,-95.1405358,R ,,8.24,2003,5459,1,56283
878,Richfield,MN,Richfield MN,44.8772564,-93.2788733,R ,,6.34,1985,34439,0.9,55423
879,Robbinsdale,MN,Robbinsdale MN,45.0244461,-93.3373235,R ,,10.8,1985,14123,0.9,55422
880,Rochester,MN,Rochester MN,43.996149,-92.6212551,R ,,9.29,2003,85806,1,55901
881,Rogers,MN,Rogers MN,45.1927639,-93.5802519,T ,,4.1,2002,3588,1,55374
882,Rosemount,MN,Rosemount MN,44.7463536,-93.1013468,T ,,6.12,1992,14619,1,55068
883,Roseville,MN,Roseville MN,45.013823,-93.1569925,R ,,4.12,1984,33690,0.9,55113
884,Saint Anthony,MN,Saint Anthony MN,45.0279299,-93.234805,R ,,21.84,1993,8226,0.8,55418
885,Saint Bonifacius,MN,Saint Bonifacius MN,44.9038405,-93.765191,F ,,6.5,2004,1873,1,55375
886,Saint Charles,MN,Saint Charles MN,43.9691073,-92.0893603,T ,,,2006,3735,1,55972
887,Saint Cloud,MN,Saint Cloud MN,45.5552072,-94.3405818,R ,,,2003,59107,1,56301
888,Saint Joseph,MN,Saint Joseph MN,45.5551812,-94.323072,R,,3,,6646,1,56374
889,Saint Louis Park,MN,Saint Louis Park MN,44.9491365,-93.3695775,R ,,7.94,2000,44126,0.9,55436
890,Saint Michael,MN,Saint Michael MN,45.1947017,-93.6941287,R ,,,2003,9099,1,55376
891,Saint Paul,MN,Saint Paul MN,44.8363371,-93.0106556,R ,,7.89,1986,287151,1,55101
892,Saint Paul Park,MN,Saint Paul Park MN,44.8363371,-93.0106556,R ,,3,2007,5070,1,55071
893,Saint Peter,MN,Saint Peter MN,44.3278291,-93.9960573,A ,,7.5,2004,9747,1,56082
894,Sandstone,MN,Sandstone MN,46.1325608,-92.8862755,R ,,,2008,2849,1,55072
895,Sartell,MN,Sartell MN,45.6027876,-94.2271399,D,,6,,14445,1,56377
896,Sauk Rapids,MN,Sauk Rapids MN,45.6027876,-94.2271399,R ,,,2010,11957,1,56379
897,Savage,MN,Savage MN,44.7580685,-93.3987239,R ,,,1994,27292,1,55378
898,Shafer,MN,Shafer MN,45.3905743,-92.7661027,R ,,,2003,383,1,55074
899,Shakopee,MN,Shakopee MN,44.765242,-93.5142668,R ,,,1985,20568,1,55379
900,Shoreview,MN,Shoreview MN,45.0801698,-93.2174996,R ,,10.4,1991,25924,0.8,55126
901,Shorewood,MN,Shorewood MN,44.9067673,-93.6543598,R ,,9.87,1993,7400,0.8,55331
902,South Saint Paul,MN,South Saint Paul MN,44.9155092,-92.9458158,R ,,,2010,20167,1,55075
903,South Washington Watershed District,MN,South Washington Watershed District MN,44.8565195,-92.9193266,F,,7.41,2010,,0.5,55975
904,Spring Valley,MN,Spring Valley MN,43.6897009,-92.4291084,F ,,5,,2479,1,55975
905,Stacy,MN,Stacy MN,45.3939477,-93.0046136,R ,,3.5,2003,1456,1,55079
906,Starbuck,MN,Starbuck MN,45.6084695,-95.5517615,V ,,,,1302,1,56381
907,Stewart,MN,Stewart MN,44.7246281,-94.5055996,V ,,,,571,1,55385
908,Stewartville,MN,Stewartville MN,43.860059,-92.5269363,R ,,4.4,2001,5916,1,55976
909,Stillwater,MN,Stillwater MN,45.0582832,-92.8944925,R ,,,1996,15143,1,55082
910,Taylors Falls,MN,Taylors Falls MN,45.4148789,-92.7019598,R ,,1.5,2003,976,1,55084
911,Thief River Falls,MN,Thief River Falls MN,48.1132937,-96.2424459,R ,,3,,8410,1,56701
912,Tonka Bay,MN,Tonka Bay MN,44.9146551,-93.605195,R ,,3.5,1993,1547,0.8,55331
913,Truman,MN,Truman MN,43.8271126,-94.4532091,V ,,,,1115,1,56088
914,Twin Valley,MN,Twin Valley MN,47.2598244,-96.275125,D ,,4.5,,821,1,56584
915,Two Harbors,MN,Two Harbors MN,47.0287722,-91.7075959,E ,1718,4,1999,3613,1,55616
916,Vadnais Heights,MN,Vadnais Heights MN,45.0574718,-93.1035938,R ,,,1992,12525,0.8,55110
917,Vadnais Lake Water Management,MN,Vadnais Lake Water Management MN,45.088541,-93.1230511,F ,,2.2,2007,,1,
918,Victoria,MN,Victoria MN,44.8431646,-93.8305168,R ,,7.67,1997,4025,1,55386
919,Waconia,MN,Waconia MN,44.8431646,-93.8305168,F ,,14.55,1992,6814,1,55387
920,Waite Park,MN,Waite Park MN,45.5305049,-94.3212646,F ,,6,,7481,1,56387
921,Walker,MN,Walker MN,47.0925675,-94.6277293,V ,,,,941,1,56484
922,Walnut Grove,MN,Walnut Grove MN,44.2244174,-95.4846796,V ,,,,871,1,56180
923,Watertown,MN,Watertown MN,45.0669107,-93.9991569,F ,,3,1993,3029,1,55388
924,Waverly,MN,Waverly MN,45.0669107,-93.9991569,D,,4,2003,1089,1,55390
925,Wayzata,MN,Wayzata MN,44.9668424,-93.5476608,R ,,5.55,1991,4113,1,55391
926,West Concord,MN,West Concord MN,44.1518105,-92.916856,V ,,,,782,1,55985
927,West Saint Paul,MN,West Saint Paul MN,44.90332,-93.0855494,R ,,3.08,2005,19405,0.9,55118
928,White Bear Township,MN,White Bear Township MN,45.0914183,-93.1157385,E ,4000,7,1992,11293,0.8,55616
929,Winnebago,MN,Winnebago MN,43.7656717,-94.2026193,V ,,,,1437,1,56098
930,Winona,MN,Winona MN,44.0534444,-91.7300981,R ,,,2003,27069,1,55987
931,Woodbury,MN,Woodbury MN,44.9055246,-92.994114,F ,,6.43,1992,46463,0.8,55125
932,Worthington,MN,Worthington MN,43.6344054,-95.658023,R ,,,2004,11283,1,56187
933,Wyoming,MN,Wyoming MN,45.34301,-93.0177333,R,,0.67,1997,7716,1,55092
934,Arnold,MO,Arnold MO,38.4213617,-90.4476948,E ,1750,3,2005,21013,1,63010
935,Columbia - Boone County,MO,Columbia - Boone County MO,38.9466773,-92.4709221,T ,,2.25,1993,115276,1,65201
936,Hannibal,MO,Hannibal MO,39.7129744,-91.4617247,,,,2017,17808,1,63401
937,Kansas City,MO,Kansas City MO,39.0921167,-94.8559002,E ,500,2.5,1992,463202,1,64101
938,Saint Louis,MO,Saint Louis MO,38.653285,-90.3835452,A ,,0.24,2008,318069,1,63101
939,Billings,MT,Billings MT,45.7820178,-108.633724,F ,,2.69,,89847,1,59101
940,Bozeman,MT,Bozeman MT,45.6795611,-111.0859213,M,,2.68,2012,38025,1,59715
941,Great Falls,MT,Great Falls MT,47.5049366,-111.4435972,F ,,5.71,1989,56690,1,59401
942,Helena,MT,Helena MT,46.5934545,-112.0857335,E ,2222,1.48,1988,25780,1,59601
943,Missoula,MT,Missoula MT,46.8764708,-114.1582494,D ,,0.75,2016,69122,1,59801
944,Polson,MT,Polson MT,47.6882402,-114.2157615,F ,,8,2009,4041,1,59860
945,Whitefish,MT,Whitefish MT,48.4296597,-114.440446,E ,2400,16.67,2006,5032,1,59937
946,Archdale,NC,Archdale NC,35.9025658,-80.0394167,E,3163,5,,11415,0.8,27263
947,Asheville,NC,Asheville NC,35.5391304,-82.7054889,E,2442,5.1,2004,84458,1,28801
948,Atlantic Beach,NC,Atlantic Beach NC,34.70294,-76.8129116,F,,4,,1495,1,28512
949,Belmont,NC,Belmont NC,35.2178041,-81.1074054,E,2500,3,,10076,1,28012
950,Bessemer City,NC,Bessemer City NC,35.285679,-81.3200958,F ,,2.07,,5398,1,28016
951,Burlington,NC,Burlington NC,36.0688052,-79.6367496,F ,,5,2005,44917,1,27215
952,Butner,NC,Butner NC,36.1286104,-78.78307,F,,2.5,,7598,1,27509
953,Camden County,NC,Camden County NC,36.3184538,-76.3543993,E,4500,,2014,10187,1,
954,Carolina Beach,NC,Carolina Beach NC,34.0381957,-77.912144,E ,2000,9,2002,4701,1,28428
955,Carrboro,NC,Carrboro NC,35.9210777,-79.1093307,T ,2800,6.25,2017,21265,1,27510
956,Chapel Hill,NC,Chapel Hill NC,35.9210777,-79.1093307,T ,,8.04,2004,48715,1,27514
957,Charlotte,NC,Charlotte NC,35.2033533,-80.9799123,T ,,10.77,1994,695454,1,28201
958,Clemmons,NC,Clemmons NC,36.0347818,-80.4276238,E ,3952,5,1993,13827,1,27012
959,Concord,NC,Concord NC,35.3942232,-80.6986903,E ,3120,5.16,2005,79066,1,28025
960,Cornelius,NC,Cornelius NC,35.4733623,-80.9257049,T ,,4.8,,11969,1,28031
961,Cramerton,NC,Cramerton NC,35.2368106,-81.1103728,T ,,,,4165,1,28032
962,Creedmoor,NC,Creedmoor NC,36.1235139,-78.6939956,T,,8.92,2012,4129,1,27522
963,Cumberland County ,NC,Cumberland County  NC,35.0507871,-78.9439733,E ,2266,1,1995,302963,1,
964,Dallas,NC,Dallas NC,35.3157703,-81.1913421,E ,2500,3.1,,3402,1,28034
965,Davidson,NC,Davidson NC,35.4813891,-80.8913238,T ,,10.73,,7139,1,28036
966,Durham,NC,Durham NC,36.0020232,-79.0249944,E ,4300,2,1997,228330,1,27701
967,Elizabeth City,NC,Elizabeth City NC,36.2994799,-76.3124903,D,,3,2006,18683,1,27906
968,Elon,NC,Elon NC,36.1183311,-79.5400044,F,,2,,9419,0.5,
969,Fayetteville,NC,Fayetteville NC,35.0747964,-79.0222712,E,2266,6,2004,200564,1,28301
970,Forsythe County,NC,Forsythe County NC,36.1176164,-80.4158952,T,,5.77,2006,306067,1,
971,Gastonia,NC,Gastonia NC,35.2369162,-81.3422208,E,2650,3.25,2001,71741,1,28051
972,Gibsonville,NC,Gibsonville NC,36.0980565,-79.577675,F,,0.75,,6410,1,27249
973,Goldsboro,NC,Goldsboro NC,35.3789262,-78.1185214,E,3000,4.5,2017,36437,1,27530
974,Graham,NC,Graham NC,36.0526591,-79.4146629,F,,1,,14153,1,27253
975,Granville County,NC,Granville County NC,36.2823658,-78.9107273,T,,1.5,2012,59976,1,
976,Greensboro,NC,Greensboro NC,36.1003778,-79.9034182,E ,2543,2.7,1994,269666,1,27401
977,Greenville,NC,Greenville NC,35.603131,-77.5174384,T ,,10.7,,84554,1,27833
978,Hendersonville,NC,Hendersonville NC,35.3245214,-82.5250878,F ,,3,2018,13840,1,28739
979,High Point,NC,High Point NC,35.9996877,-80.1237524,E ,2588,2,,104371,1,27260
980,Hillsborough,NC,Hillsborough NC,36.0785537,-79.1336208,T ,,6.25,2016,6087,1,27278
981,Holly Springs,NC,Holly Springs NC,35.6441222,-78.9022652,,,3,,24661,1,27540
982,Hope Mills,NC,Hope Mills NC,34.9697031,-79.0213817,D ,,4,2008,15176,1,28348
983,Huntersville,NC,Huntersville NC,35.4029505,-80.8921009,T ,,4.8,,24960,1,28070
984,Indian Trail,NC,Indian Trail NC,35.0750709,-80.7218831,T ,,4.43,2007,11905,1,28079
985,Jacksonville,NC,Jacksonville NC,34.7269594,-77.5339575,E ,2850,5,2006,66715,1,28540
986,Kannapolis,NC,Kannapolis NC,35.475967,-80.7294851,T ,,7.25,,36910,1,28081
987,Kernersville,NC,Kernersville NC,36.0944397,-80.1594218,E ,2980,3.29,2006,23123,1,27284
988,Kings Mountain,NC,Kings Mountain NC,35.2292857,-81.5214909,E ,2000,2.5,2014,10791,1,28086
989,Kinston,NC,Kinston NC,35.2742776,-77.6153409,E ,3059,4.5,2008,22346,1,28501
990,Kure Beach,NC,Kure Beach NC,33.9944693,-77.9254801,F,,8.71,,2012,1,28449
991,Lake Park,NC,Lake Park NC,35.0841029,-80.6521925,T,,,,3422,0.5,
992,Landis,NC,Landis NC,35.5572988,-80.6508888,D,,5,,3121,1,
993,Lowell,NC,Lowell NC,35.2695947,-81.120541,E,2827,6.75,2021,3526,1,
994,Lumberton,NC,Lumberton NC,34.6415021,-79.1047813,T ,,4.25,1997,21542,1,
995,Matthews,NC,Matthews NC,35.1272246,-80.7438309,T ,,6.32,,22127,1,
996,Mecklenburg County,NC,Mecklenburg County NC,35.2586533,-81.0843451,T ,,2.68,,695454,1,
997,Mint Hill,NC,Mint Hill NC,35.1771535,-80.6524889,T ,,4.8,,14922,0.9,
998,Monroe,NC,Monroe NC,35.0156205,-80.6316362,T ,,4.5,2008,32797,1,
999,Mooresville,NC,Mooresville NC,35.5831373,-80.9074002,E ,2700,3.4,2014,34887,1,
1000,Morrisville,NC,Morrisville NC,35.8329796,-78.8746354,E,2800,1.92,2012,19184,1,
1001,Mount Holly,NC,Mount Holly NC,35.309567,-81.0703633,E ,,2.5,,13656,1,
1002,Nags Head,NC,Nags Head NC,35.9206021,-75.6865208,F,,2,,2757,1,
1003,New Bern,NC,New Bern NC,35.0777983,-77.1451318,E,3100,2.1,2012,29524,1,
1004,New Hanover County,NC,New Hanover County NC,34.0883302,-78.1327817,E,,5.65,2019,,1,
1005,Oak Island,NC,Oak Island NC,33.9507776,-78.1779759,D,,1.75,,6783,1,
1006,Oxford,NC,Oxford NC,36.31994,-78.6186984,E ,2500,2,,8338,1,
1007,Person County,NC,Person County NC,36.3892396,-79.1143613,T ,,1,2013,,1,
1008,Pineville,NC,Pineville NC,35.0814141,-80.9219684,T,,4.68,,3449,1,
1009,Plymouth,NC,Plymouth NC,35.8549484,-76.7853229,F,,3,,3878,1,
1010,Raleigh,NC,Raleigh NC,35.843965,-78.7851393,T,,5,2004,416468,1,
1011,Ranlo,NC,Ranlo NC,35.2966227,-81.1471375,W,,7.45,,3434,0.8,
1012,Rocky Mount,NC,Rocky Mount NC,35.9846031,-77.8899377,E ,2519,5,2003,57477,1,
1013,Salisbury,NC,Salisbury NC,35.6800696,-80.5649603,E ,2500,4,2012,33834,1,
1014,Shelby,NC,Shelby NC,35.2849855,-81.6874095,E ,2600,2.5,2014,20325,1,
1015,Spring Lake,NC,Spring Lake NC,35.1823636,-79.0144864,D ,,2.75,,11964,1,
1016,Stallings,NC,Stallings NC,35.1029248,-80.7394847,E ,2060,2.12,2007,13831,0.8,
1017,Statesville,NC,Statesville NC,35.7770908,-81.0141049,E ,3050,4.7,2019,26506,1,
1018,Stem,NC,Stem NC,36.2001234,-78.7398396,T,,,,463,1,
1019,Swansboro,NC,Swansboro NC,34.6943775,-77.180627,T,,3.75,2016,2993,1,
1020,Tarboro,NC,Tarboro NC,35.9005862,-77.6241038,E,2000,3,2018,11415,1,
1021,Thomasville,NC,Thomasville NC,35.8805933,-80.1592282,F,,1,,26729,1,
1022,Wallace,NC,Wallace NC,34.7430725,-78.0746592,E,2400,4.85,,3880,1,
1023,Washington,NC,Washington NC,35.5684194,-77.0825374,T ,,5.5,2002,9744,1,
1024,Whitakers,NC,Whitakers NC,36.1056234,-77.7214562,F ,,3.25,,744,1,
1025,Wilmington,NC,Wilmington NC,34.2073402,-78.0121536,E ,2500,8.19,2004,106476,1,
1026,Wilson,NC,Wilson NC,35.742951,-78.0929609,E ,2585,4.5,2002,49167,1,
1027,Winston-Salem,NC,Winston-Salem NC,36.1047679,-80.3835413,T ,,4.5,,185776,1,
1028,Winterville,NC,Winterville NC,35.5220157,-77.4367415,E ,2000,2,2007,9269,1,
1029,Wrightsville Beach,NC,Wrightsville Beach NC,34.210738,-77.8346044,T ,,,,2593,1,
1030,Zebulon,NC,Zebulon NC,35.8403049,-78.3743273,T ,,2,,4433,1,
1031,Bismarck,ND,Bismarck ND,46.8091721,-100.837094,F ,,2.98,,55532,1,
1032,Dickinson,ND,Dickinson ND,46.8813805,-102.8493501,V ,,,,,1,
1033,Grand Forks,ND,Grand Forks ND,47.9150784,-97.2429402,F ,,2.9,1988,49321,1,
1034,Jamestown,ND,Jamestown ND,46.9102539,-98.7569449,,,3,2019,15387,1,
1035,Minot,ND,Minot ND,48.2374355,-101.3407349,F ,,2.6,1998,36567,1,
1036,Columbus,NE,Columbus NE,41.4329369,-97.4190002,T ,,3,2018,23128,1,
1037,Kearney,NE,Kearney NE,40.7017975,-99.1479224,D ,,1,2016,33835,1,
1038,Omaha,NE,Omaha NE,41.2919667,-96.1512882,,,0.84,,475862,1,
1039,Sante Fe,NM,Sante Fe NM,35.6826911,-106.1231195,W ,,5.5,2003,62203,1,
1040,Carson City,NV,Carson City NV,39.1679456,-119.8463667,F ,,5.69,2003,52457,1,
1041,Sparks,NV,Sparks NV,39.5754757,-119.7854827,D ,,8.32,,66346,1,
1042,Washoe County,NV,Washoe County NV,40.5781935,-120.7095599,E ,,9.31,2015,446903,1,
1043,Ithaca,NY,Ithaca NY,42.4427611,-76.5333943,E ,,4.75,2014,30014,1,
1044,Ada,OH,Ada OH,40.7672751,-83.8588833,T ,,,2004,5952,1,
1045,Amberley,OH,Amberley OH,39.2038729,-84.4483516,R ,,,2003,3585,1,
1046,Ashland,OH,Ashland OH,40.867284,-82.3791286,E ,3052,3.5,2006,20367,1,
1047,Ashville,OH,Ashville OH,39.7239482,-82.9940808,E,2530,3,2006,4120,1,
1048,Avon ,OH,Avon  OH,41.4486059,-82.0887552,E ,4300,2,2018,21193,1,
1049,Barberton,OH,Barberton OH,41.0088448,-81.6771171,E,8668,5,2006,26455,1,
1050,Bellefontaine,OH,Bellefontaine OH,40.3559636,-83.8458487,E,2400,3.75,2001,13322,1,
1051,Boardman,OH,Boardman OH,41.0248003,-80.733501,E,4764,3.12,2018,35376,0.5,
1052,Broadview Heights,OH,Broadview Heights OH,41.2463812,-81.8578198,E,4000,4,2007,19247,1,
1053,Brunswick,OH,Brunswick OH,41.2463812,-81.8578198,E,3500,4.95,2011,34441,1,
1054,Buckeye Lake,OH,Buckeye Lake OH,39.9335655,-82.5193258,E,2700,4,2013,2703,1,
1055,Bucyrus,OH,Bucyrus OH,40.8077682,-83.0052714,E,2506,7.2,2000,12253,1,
1056,Butler County,OH,Butler County OH,39.4418386,-84.7158316,E ,4000,1.08,2003,369999,1,
1057,Campbell,OH,Campbell OH,41.076463,-80.6229393,T,,3,2007,8235,1,
1058,Canal Winchester,OH,Canal Winchester OH,39.8436372,-82.8773292,E ,3001,3,2010,7191,1,
1059,Canfield,OH,Canfield OH,41.0337619,-80.8003874,E,3050,3.12,1992,7464,1,
1060,Celina,OH,Celina OH,40.5530323,-84.6283271,E,3083,2,2008,10406,1,
1061,Chillicothe,OH,Chillicothe OH,39.3419421,-83.0696688,F,,1,1997,21955,1,
1062,Cincinnati,OH,Cincinnati OH,39.1364522,-84.6104411,T,,8.28,1984,296223,1,
1063,Columbus,OH,Columbus OH,39.9831302,-83.130912,E,2000,4.68,1994,797434,1,
1064,Cortland,OH,Cortland OH,41.3368431,-80.7548439,F,,1.5,2007,7069,1,
1065,Coshocton,OH,Coshocton OH,40.2614244,-81.9228141,D,,0.25,2010,11231,1,
1066,Crooksville,OH,Crooksville OH,39.7618231,-82.113472,E,,2.54,,2491,1,
1067,Cuyahoga Falls,OH,Cuyahoga Falls OH,41.1620055,-81.5886761,E ,3000,5,1992,49473,1,
1068,Dayton,OH,Dayton OH,39.8114392,-84.272197,F ,,5.03,1997,142148,1,
1069,Deerfield Regional Stormwater District,OH,Deerfield Regional Stormwater District OH,39.372697,-84.3146436,E,3407,1.92,2006,,1,
1070,Delaware,OH,Delaware OH,40.2829109,-83.1406451,E,2773,2.5,1998,35541,1,
1071,East Liverpool,OH,East Liverpool OH,40.6341981,-80.6289167,E,7773,6.5,2018,10691,1,
1072,Elyria,OH,Elyria OH,41.3758526,-82.1813107,E,2700,2.65,2016,,1,
1073,Findlay,OH,Findlay OH,41.0413534,-83.6689009,T,,3,1999,41202,1,
1074,Forest Park,OH,Forest Park OH,39.2856069,-84.5950792,F ,,3,1988,19463,0.8,
1075,Fostoria,OH,Fostoria OH,41.1593244,-83.4430094,R,,,2006,13411,1,
1076,Franklin,OH,Franklin OH,39.5541817,-84.3644531,E,2611,3.5,,11771,1,
1077,Gahanna,OH,Gahanna OH,40.02164,-82.8572975,E,3064,4.33,2004,32636,0.9,
1078,Galion,OH,Galion OH,40.7385915,-82.8363222,E,2650,6,2001,10416,1,
1079,Gambier,OH,Gambier OH,40.374395,-82.4036247,T,,4,,2396,1,
1080,Greenville,OH,Greenville OH,40.1067478,-84.6497069,E ,2800,2.95,2007,13189,1,
1081,Groveport,OH,Groveport OH,39.8583772,-82.9661456,E,2760,2,2008,5363,1,
1082,Hamilton,OH,Hamilton OH,39.3959952,-84.6305356,E ,2536,4.3,2002,62795,1,
1083,Hamilton County,OH,Hamilton County OH,39.1670103,-84.6784309,V ,,,,800362,1,
1084,Harrison,OH,Harrison OH,39.2561016,-84.8272608,R,,2,2007,9871,1,
1085,Hilliard,OH,Hilliard OH,40.0365742,-83.2171441,E,2000,2.35,2009,28435,1,
1086,Hillsboro,OH,Hillsboro OH,39.2146192,-83.6471169,E,2899,5,2019,6512,1,
1087,Hubbard,OH,Hubbard OH,41.1595698,-80.6001208,T,,3,2007,8284,1,
1088,Huber Heights,OH,Huber Heights OH,39.858753,-84.1132495,E,3431,2,2002,38278,0.9,
1089,Hudson,OH,Hudson OH,41.2400618,-81.5107731,- ,,,,22182,1,
1090,Huron,OH,Huron OH,41.4007666,-82.5945574,T ,,1.67,2017,7149,1,
1091,Ironton,OH,Ironton OH,38.5289639,-82.7183965,W ,,12.42,2005,11211,1,
1092,Kent,OH,Kent OH,41.1467771,-81.4212636,E ,1963,4.3,2001,28935,1,
1093,Lake County,OH,Lake County OH,41.6851117,-81.3581174,E ,3050,3.5,2003,229885,0.8,
1094,Lancaster,OH,Lancaster OH,39.7236474,-82.7487621,E ,2600,7.64,2003,39026,1,
1095,Lebanon,OH,Lebanon OH,39.4165966,-84.2851662,E ,2615,3.5,2004,20242,1,
1096,Lexington,OH,Lexington OH,40.6809054,-82.571845,E ,5000,1.5,2004,4784,0.9,
1097,Lima,OH,Lima OH,40.7419553,-84.1862212,E ,2600,,,38693,1,
1098,London,OH,London OH,39.8905936,-83.4694793,E ,2766,4,,9896,1,
1099,Lorain County (unincorporated areas),OH,Lorain County OH,41.4708655,-82.3927512,E ,6000,1.5,,,1,
1100,Louisville,OH,Louisville OH,40.8369302,-81.2994234,T,,3.5,2005,9186,1,
1101,Loveland,OH,Loveland OH,39.2698067,-84.3049403,E ,2500,4.5,2003,12082,1,
1102,Lowellville,OH,Lowellville OH,41.0389713,-80.5817558,F,,2,2007,1148,1,
1103,Lucas County,OH,Lucas County OH,41.6869451,-83.7195827,E,5500,4.31,2011,440005,1,
1104,Marion,OH,Marion OH,40.6020411,-83.1979092,E,2778,4.16,1997,36689,1,
1105,Marysville,OH,Marysville OH,40.2299589,-83.4189202,E,2700,6,2004,22288,1,
1106,Mason,OH,Mason OH,39.3556857,-84.3710887,F,,4.32,2001,31039,1,
1107,Massillon,OH,Massillon OH,40.7743277,-81.5968158,T,,1,2010,32106,1,
1108,Medina,OH,Medina OH,41.1363615,-81.9365961,E ,2716,2.25,2003,26822,1,
1109,Middletown,OH,Middletown OH,39.5043679,-84.3917323,E ,2814,4,2005,48962,1,
1110,Milford,OH,Milford OH,39.1722379,-84.293796,E ,2400,5.5,2004,6768,1,
1111,Monroe,OH,Monroe OH,39.4440661,-84.4344262,D ,,3,2003,12509,1,
1112,Monroeville,OH,Monroeville OH,41.2452859,-82.7178845,E,4200,,2009,1400,1,
1113,Montpelier,OH,Montpelier OH,41.582116,-84.6245234,T,,,1986,4067,1,
1114,Mount Vernon,OH,Mount Vernon OH,40.3786725,-82.5437591,E,2900,6,2019,16659,1,
1115,Muskingum Watershed Conservancy District,OH,Muskingum Watershed Conservancy District OH,40.5768058,-82.0714766,E,3300,1,,2000000,0.5,
1116,New Lexington,OH,New Lexington OH,39.7139558,-82.2379414,F,,2.25,2005,4689,1,
1117,New London,OH,New London OH,41.0801353,-82.4470989,T,,4,2005,2455,1,
1118,Newark,OH,Newark OH,40.0779189,-82.559153,E ,2600,6.5,2005,47790,1,
1119,North Ridgeville,OH,North Ridgeville OH,41.385198,-82.0895051,E ,3820,3.88,2018,33436,1,
1120,Northeast Ohio Regional Sewer District,OH ,Northeast Ohio Regional Sewer District OH ,41.5032541,-81.660613,E ,3000,5.15,2010,,0.5,
1121,Northwood,OH,Northwood OH,41.6057851,-83.5561586,E,2500,3.16,2001,5265,1,
1122,Norwalk,OH,Norwalk OH,41.2471264,-82.626285,E,3800,1.35,2011,16977,1,
1123,Oak Harbor,OH,Oak Harbor OH,41.5129663,-83.160273,E,4200,13,2007,2758,1,
1124,Oakwood,OH,Oakwood OH,39.7196626,-84.1843322,E ,,6,2013,,1,
